Activity Number,BBE Status,OLI Category,Line #
1-35UTO4P5,BBE Available,New,8
1-35UTRGPP,BBE Available,New,8
1-35UVN51T,BBE Available,New,8
1-35UVR3OV,BBE Closed,New,8
1-35UWT8A5,BBE Available,New,8
1-35UXDHDE,BBE Closed,New,8
1-35UYJUID,BBE Available,New,8
1-35V07OE3,BBE Available,New,8
1-35V0U3O0,BBE Closed,New,8
1-35V1LYT3,BBE Closed,New,8
1-35V1PQT5,BBE Deleted,Deleted,8
1-35V6MT1O,BBE Deleted,Deleted,8
1-35V6O2L4,BBE Available,New,8
1-35V7LTFA,BBE Available,New,8
1-35V80WYI,BBE Available,New,8
1-35V85P2W,BBE Deleted,Deleted,8
1-35V908QF,BBE Available,New,8
1-35VCKQN7,BBE Closed,New,8
1-35VDCU0Y,BBE Closed,New,8
1-35VDSX7Q,BBE Available,New,8
1-35VFTRFQ,BBE Available,New,8
1-35VIDFEC,BBE Available,New,8
1-35VINXIX,BBE Available,New,8
1-35VIWHLR,BBE Closed,New,8
1-35VJQ4HH,BBE Closed,New,8
1-35VJTRN4,BBE Available,New,8
1-35VMJ5KH,BBE Deleted,Deleted,8
1-35VMNPFC,BBE Available,New,8
1-35VOZ0OE,BBE Deleted,Deleted,8
1-35VPAH2S,BBE Deleted,Deleted,8
1-35VQYINN,BBE Available,SysAdded,8
1-35VRDQ7Z,BBE Closed,New,8
1-35VUI813,BBE Closed,SysAdded,8
1-35VUPG2M,BBE Deleted,Deleted,8
1-35VV4P8Y,BBE Available,New,8
1-35VW3YPG,BBE Available,New,8
1-35VW9GFX,BBE Deleted,Deleted,8
1-35VWIU4L,BBE Available,SysAdded,8
1-35VWYD5U,BBE Closed,SysAdded,8
1-35VY7ZJK,BBE Deleted,Deleted,8
1-35VZZGFG,BBE Available,New,8
1-35W0G4OP,BBE Available,New,8
1-35W0R2PK,BBE Available,New,8
1-347DXGW8,BBE Available,New,7
1-35LIDG43,BBE Available,New,7
1-35O9JL96,BBE Available,New,7
1-35OQXCD0,BBE Available,New,7
1-35OUDUOU,BBE Available,New,7
1-35P5LKSN,BBE Available,New,7
1-35PDB6VL,BBE Available,New,7
1-35Q35WTH,BBE Available,New,7
1-35QM7S28,BBE Available,New,7
1-35QOY8PF,BBE Available,New,7
1-35QPMDYG,BBE Closed,New,7
1-35QSYFA8,BBE Available,New,7
1-35RBR7ZE,BBE Deleted,Deleted,7
1-35RGQCSD,BBE Available,New,7
1-35RI326S,BBE Available,New,7
1-35RNF5VX,BBE Available,New,7
1-35RXD532,BBE Available,New,7
1-35SR7JPY,BBE Deleted,Deleted,7
1-35SSFJ0L,BBE Available,New,7
1-35SWJXDS,BBE Available,New,7
1-35T3BX3M,BBE Available,SysAdded,7
1-35T9AH93,BBE Closed,SysAdded,7
1-35TBJ432,BBE Deleted,Deleted,7
1-35TEPYYA,BBE Deleted,Deleted,7
1-35THCVCD,BBE Available,New,7
1-35THM383,BBE Available,New,7
1-35TM1BQ4,BBE Deleted,Deleted,7
1-35TS17V0,BBE Deleted,Deleted,7
1-35TTZEF8,BBE Available,New,7
1-35TV6GTO,BBE Available,SysAdded,7
1-35TZKQ0T,BBE Available,New,7
1-35U0VSD5,BBE Closed,New,7
