Activity Number,BBE Status,OLI Category,Line #
1-35VCL58H,BBE Closed,New,8
1-35VCP96Z,BBE Available,SysAdded,8
1-35VD5I1W,BBE Closed,SysAdded,8
1-35VEQLSI,BBE Available,New,8
1-35VES4I0,BBE Closed,SysAdded,8
1-35VGL3O4,BBE Closed,SysAdded,8
1-35VITGZ5,BBE Available,New,8
1-35VJAUDK,BBE Available,New,8
1-35VK8XQP,BBE Closed,Added,8
1-35VLGO9C,BBE Available,New,8
1-35VLNFBQ,BBE Closed,SysAdded,8
1-35VMICRO,BBE Closed,SysAdded,8
1-35VNHRUL,BBE Closed,SysAdded,8
1-35VO2TDO,BBE Available,SysAdded,8
1-35VOLYA3,BBE Closed,SysAdded,8
1-35VPR0NO,BBE Closed,Added,8
1-35VQPF3H,BBE Closed,New,8
1-35VR87YS,BBE Closed,SysAdded,8
1-35VRD399,BBE Available,New,8
1-35VRRPG4,BBE Closed,SysAdded,8
1-35VRUG92,BBE Closed,Added,8
1-35VUBPWM,BBE Closed,New,8
1-35VV4L1O,BBE Closed,SysAdded,8
1-35VV7HD3,BBE Deleted,Deleted,8
1-35VWVPS6,BBE Available,New,8
1-35W1TAWY,BBE Available,New,8
1-35CFM7SF,BBE Available,New,7
1-35EQBOE4,BBE Closed,New,7
1-35HJ3NNS,BBE Available,New,7
1-35OQ1F9F,BBE Available,New,7
1-35OTP6CX,BBE Available,New,7
1-35OURCGN,BBE Available,New,7
1-35P0Z9ZC,BBE Deleted,Deleted,7
1-35PO8M88,BBE Available,New,7
1-35QC8M65,BBE Available,New,7
1-35QCWNMR,BBE Available,New,7
1-35RDS4MN,BBE Available,New,7
1-35RFRDAH,BBE Available,New,7
1-35ROIT50,BBE Available,New,7
1-35RP3EQ0,BBE Available,New,7
1-35RSTGW5,BBE Closed,New,7
1-35RTALSQ,BBE Deleted,Deleted,7
1-35S1Y5DU,BBE Available,New,7
1-35SBB0OC,BBE Available,New,7
1-35SCH0SI,BBE Available,New,7
1-35SK2MLA,BBE Closed,New,7
1-35SK6UET,BBE Closed,New,7
1-35SNBCEJ,BBE Available,New,7
1-35SNH7V2,BBE Available,New,7
1-35SS2P2I,BBE Available,New,7
1-35SZ9WX7,BBE Available,New,7
1-35T9EK2E,BBE Available,New,7
1-35TCIANH,BBE Closed,New,7
1-35TDGDGI,BBE Closed,New,7
1-35TEZF1N,BBE Available,New,7
1-35TR4OSR,BBE Available,New,7
1-35U12KA2,BBE Available,SysAdded,7
1-35U1TWXM,BBE Closed,SysAdded,7
1-35U2EKW0,BBE Closed,New,7
1-35U453EL,BBE Available,New,7
1-35U4EY7D,BBE Closed,New,7
1-35U4T8JU,BBE Closed,SysAdded,7
1-35UAQYJG,BBE Closed,SysAdded,7
1-35UGDSQV,BBE Available,New,7
1-35UKX0GF,BBE Closed,New,7
1-35UMMG3A,BBE Deleted,Deleted,7
1-35UMUOOL,BBE Closed,SysAdded,7
1-35UMYCFK,BBE Closed,SysAdded,7
1-35UQE9PY,BBE Deleted,Deleted,7
1-35UUWAK7,BBE Closed,SysAdded,7
1-35UXFQQG,BBE Deleted,Deleted,7
1-35UXOJ97,BBE Closed,SysAdded,7
1-35V2B49P,BBE Closed,SysAdded,7
1-35V32D7T,BBE Available,SysAdded,7
1-35V3FQXM,BBE Closed,SysAdded,7
1-35V686Z3,BBE Closed,SysAdded,7
1-35V6HVCZ,BBE Closed,New,7
1-35V78KEG,BBE Available,New,7
1-35V83M9N,BBE Closed,SysAdded,7
1-35VAWYN6,BBE Available,New,7
1-35VB74Z9,BBE Available,New,7
1-35VBR2UV,BBE Available,New,7
1-35VBUFJX,BBE Closed,New,7
1-35VCQ32E,BBE Closed,SysAdded,7
1-35VCQ753,BBE Deleted,Deleted,7
1-35VDOAJZ,BBE Available,New,7
1-35VE3NER,BBE Available,New,7
1-35VGVZ32,BBE Closed,SysAdded,7
1-35VIXJWK,BBE Deleted,Deleted,7
1-35VJICWZ,BBE Closed,New,7
1-35VKUZN2,BBE Available,New,7
1-35VL36PB,BBE Available,New,7
1-35VLJV7J,BBE Closed,Added,7
1-35VMDLK8,BBE Available,New,7
1-35VMRUXU,BBE Closed,SysAdded,7
1-35VNWJ32,BBE Closed,SysAdded,7
1-35VOBKKE,BBE Closed,SysAdded,7
1-35VOGUZE,BBE Closed,SysAdded,7
1-35VOPDS4,BBE Closed,SysAdded,7
1-35VPXYDW,BBE Available,New,7
1-35VR8IVU,BBE Closed,SysAdded,7
1-35VU8ELL,BBE Available,New,7
1-35VUBKVU,BBE Available,New,7
1-35VUI8G7,BBE Available,SysAdded,7
1-35VUQHHV,BBE Available,New,7
1-35VV5DIW,BBE Closed,SysAdded,7
1-35VVJ1GC,BBE Closed,SysAdded,7
1-35VW4YCJ,BBE Available,New,7
1-35VW6FN4,BBE Closed,New,7
1-35VWBQ22,BBE Available,SysAdded,7
1-35VWP853,BBE Available,New,7
1-35W0GYOK,BBE Available,New,7
1-35W1COPN,BBE Available,New,7
1-35W1MX7S,BBE Available,New,7
1-35W2DKE6,BBE Available,SysAdded,7
1-35L854MB,BBE Closed,New,6
1-35QGSAHO,BBE Closed,New,6
1-35QUKP2J,BBE Available,New,6
1-35QUQYU1,BBE Available,New,6
1-35RFAHGR,BBE Closed,New,6
1-35RP4XJU,BBE Available,New,6
1-35SAK99J,BBE Available,New,6
1-35SNZNXW,BBE Deleted,Deleted,6
1-35SPTEO7,BBE Available,New,6
1-35SQI2K2,BBE Deleted,Deleted,6
1-35SSWCYE,BBE Available,New,6
1-35T2E86Z,BBE Closed,New,6
1-35TMRAQE,BBE Deleted,Deleted,6
1-35TVJUH4,BBE Closed,SysAdded,6
1-35TYWHKN,BBE Available,New,6
1-35U3XU59,BBE Closed,New,6
1-35UK93E1,BBE Available,New,6
1-35UN9OFL,BBE Available,New,6
1-35UNF4ZY,BBE Available,New,6
1-35UNG8KS,BBE Closed,SysAdded,6
1-35UNL5M0,BBE Available,New,6
1-35UO64PX,BBE Available,SysAdded,6
1-35UO6KO6,BBE Deleted,Deleted,6
1-35UOIQH1,BBE Closed,SysAdded,6
1-35UP0LDY,BBE Closed,SysAdded,6
1-35UPWIY7,BBE Available,SysAdded,6
1-35UVPB6T,BBE Available,New,6
1-35UXD3KV,BBE Closed,Added,6
1-35UXFRBX,BBE Closed,SysAdded,6
1-35V0GTEF,BBE Closed,SysAdded,6
1-35V2JSO6,BBE Available,SysAdded,6
1-35VASVTW,BBE Available,New,6
1-35VB3Q9G,BBE Deleted,Deleted,6
1-35VBBPTE,BBE Available,New,6
1-35VBLS70,BBE Closed,SysAdded,6
1-35VBPKDQ,BBE Available,New,6
1-35VCQ2K4,BBE Closed,Added,6
1-35VCSO9T,BBE Closed,SysAdded,6
1-35VDBLD3,BBE Closed,SysAdded,6
1-35VE79PM,BBE Available,SysAdded,6
1-35VEGQLR,BBE Available,New,6
1-35VEJPXD,BBE Closed,SysAdded,6
